Date/Time,Word Count,de,en,es,fr,it,ja,ru,zh,zh-Hans-CN
2025.09.08-18.26.59,0,0,0,0,0,0,0,0,0,0
2025.09.08-18.28.36,378,0,378,0,0,0,0,0,0,0
2025.09.08-18.38.28,378,0,378,0,0,0,0,378,0,0
2025.09.08-19.19.05,378,0,378,378,0,0,0,378,0,0
2025.09.08-19.23.33,378,0,378,378,0,378,0,378,0,0
2025.09.08-19.29.10,378,0,378,378,0,378,0,378,0,378
2025.09.08-19.29.50,378,0,378,378,0,378,0,378,378,378
2025.09.08-19.37.06,378,0,378,378,0,378,378,378,378,378
2025.09.08-19.40.22,378,378,378,378,0,378,378,378,378,378
2025.09.08-19.44.05,378,378,378,378,378,378,378,378,378,378
2025.10.13-20.28.13,421,369,421,369,369,369,369,369,369,369
